Fecha,Reserva (hm3)
17/06/2018,72.59
18/06/2018,72.52
19/06/2018,72.39
20/06/2018,72.29
21/06/2018,72.19
22/06/2018,72.08
23/06/2018,71.94
24/06/2018,71.83
25/06/2018,71.73
26/06/2018,71.6
27/06/2018,71.5
28/06/2018,71.4
29/06/2018,71.3
30/06/2018,71.18
01/07/2018,71.03
02/07/2018,70.94
03/07/2018,70.8
04/07/2018,70.63
05/07/2018,70.55
06/07/2018,70.41
07/07/2018,70.29
08/07/2018,70.17
09/07/2018,70.07
10/07/2018,69.93
11/07/2018,69.8
12/07/2018,69.67
13/07/2018,69.51
14/07/2018,69.36
15/07/2018,69.23
16/07/2018,69.07
17/07/2018,68.91
18/07/2018,68.77
19/07/2018,68.64
20/07/2018,68.49
21/07/2018,68.3
22/07/2018,68.11
23/07/2018,68.01
24/07/2018,67.87
25/07/2018,67.72
26/07/2018,67.59
27/07/2018,67.45
28/07/2018,67.31
29/07/2018,67.18
30/07/2018,67.01
31/07/2018,66.87
01/08/2018,66.73
02/08/2018,66.56
03/08/2018,66.44
04/08/2018,66.28
05/08/2018,66.07
06/08/2018,65.99
07/08/2018,65.82
08/08/2018,65.6
09/08/2018,65.51
10/08/2018,65.38
11/08/2018,65.18
12/08/2018,65.05
13/08/2018,64.91
14/08/2018,64.75
15/08/2018,64.46
16/08/2018,64.47
17/08/2018,64.3
18/08/2018,64.08
19/08/2018,63.96
20/08/2018,63.87
21/08/2018,63.71
22/08/2018,63.39
23/08/2018,63.37
24/08/2018,63.23
25/08/2018,63.03
26/08/2018,62.91
27/08/2018,62.81
28/08/2018,62.66
29/08/2018,62.51
30/08/2018,62.28
31/08/2018,62.14
01/09/2018,62.1
02/09/2018,61.94
03/09/2018,61.79
04/09/2018,61.57
05/09/2018,61.46
06/09/2018,61.31
07/09/2018,61.18
08/09/2018,60.96
09/09/2018,60.98
10/09/2018,60.91
11/09/2018,60.81
12/09/2018,60.7
13/09/2018,60.58
14/09/2018,60.48
15/09/2018,60.41
16/09/2018,60.42
17/09/2018,60.36
18/09/2018,60.3
19/09/2018,60.23
20/09/2018,60.07
21/09/2018,60.03
22/09/2018,59.94
23/09/2018,59.82
24/09/2018,59.65
25/09/2018,59.54
26/09/2018,59.44
27/09/2018,59.34
28/09/2018,59.27
29/09/2018,59.19
30/09/2018,59.08
01/10/2018,58.9
02/10/2018,58.87
03/10/2018,58.8
04/10/2018,58.72
05/10/2018,58.6
06/10/2018,58.47
07/10/2018,58.42
08/10/2018,58.24
09/10/2018,58.15
10/10/2018,58.54
11/10/2018,58.51
12/10/2018,58.46
13/10/2018,58.45
14/10/2018,58.39
15/10/2018,58.54
16/10/2018,58.51
17/10/2018,58.54
18/10/2018,58.54
19/10/2018,59.4
20/10/2018,59.52
21/10/2018,59.67
22/10/2018,59.68
23/10/2018,59.76
24/10/2018,59.73
25/10/2018,59.64
26/10/2018,59.72
27/10/2018,59.7
28/10/2018,59.58
29/10/2018,59.61
30/10/2018,59.57
31/10/2018,61.46
01/11/2018,62.49
02/11/2018,62.88
03/11/2018,63.02
04/11/2018,63.12
05/11/2018,63.24
06/11/2018,63.34
07/11/2018,63.44
08/11/2018,63.52
09/11/2018,63.64
10/11/2018,63.68
11/11/2018,63.72
12/11/2018,63.78
13/11/2018,63.83
14/11/2018,63.8
15/11/2018,63.82
16/11/2018,63.93
17/11/2018,63.96
18/11/2018,63.99
19/11/2018,65.38
20/11/2018,66.22
21/11/2018,67.65
22/11/2018,69.12
23/11/2018,70.05
24/11/2018,71.19
25/11/2018,71.82
26/11/2018,72.33
27/11/2018,72.61
28/11/2018,72.9
29/11/2018,73.18
30/11/2018,73.42
01/12/2018,73.62
02/12/2018,73.82
03/12/2018,73.95
04/12/2018,74.11
05/12/2018,74.22
06/12/2018,74.38
07/12/2018,74.51
08/12/2018,74.63
09/12/2018,74.72
10/12/2018,74.82
11/12/2018,74.87
12/12/2018,74.92
13/12/2018,74.98
14/12/2018,75.01
15/12/2018,75.18
16/12/2018,75.21
17/12/2018,75.27
18/12/2018,75.31
19/12/2018,75.36
20/12/2018,75.42
21/12/2018,75.47
22/12/2018,75.46
23/12/2018,75.49
24/12/2018,75.6
25/12/2018,75.52
26/12/2018,75.52
27/12/2018,75.56
28/12/2018,75.51
29/12/2018,75.47
30/12/2018,75.52
31/12/2018,75.52
01/01/2019,75.53
02/01/2019,75.54
03/01/2019,75.6
04/01/2019,75.6
05/01/2019,75.61
06/01/2019,75.67
07/01/2019,75.67
08/01/2019,75.67
